x,prev_rmse,seas_corr,rdt2011,rdt2014,peak,score
3.237,0.020853463439130342,0.6841905640564431,0.7469876345031666,0.21516505238373332,11,0.36418094533045786
5.0,0.02091721372698213,0.6830453208051366,0.7680765072672,0.19801773138546666,12,0.3654740631857236
2.974,0.04184191083836814,0.655354982937927,0.7550924192573999,0.17092866689944,11,0.44170114343608124
4.0,0.012993370881668262,0.5868593803359805,0.7629182806864,0.2416577921527,11,0.4432799278611768
2.5,0.06093507575205792,0.6258178424872161,0.6998704571022,0.18305710770123004,11,0.5155266203803444
3.5,0.04096459512752501,0.5722880980973053,0.7253877470385334,0.1954873839560333,11,0.5227330145119058
2.711,0.07660717124135347,0.6542455656707235,0.6967835936151,0.15100694797413333,11,0.5234517513059711
3.368,0.07503655386401133,0.6455157434675434,0.7361971749505667,0.12784398530671334,12,0.5285383833295872
2.447,0.06645607398764401,0.6042214350988706,0.6944110833922666,0.17701576355579998,11,0.5499294864539457
2.053,0.0997663154683036,0.6198686611797652,0.7110816335858999,0.10071494715516334,11,0.611548401950196
2.842,0.09755767448807984,0.5931316706183422,0.6999604961230667,0.11058199637211667,11,0.6331622484248332
3.105,0.09584218724777809,0.588379566933697,0.6691112663764001,0.14115244166714,11,0.6339351230768728
10.0,0.1387297974531208,0.6849722141043877,0.8488683836876666,0.40834673563856666,11,0.6368241972847387
2.184,0.1020803241279267,0.5979763536236011,0.6966664306685333,0.10509715260675667,11,0.6388082635305178
2.579,0.09888873146348509,0.5647903437495934,0.7180794832740668,0.09881709072571666,11,0.664591083283238
2.316,0.12597258256408983,0.5754370388257952,0.6839993789348666,0.07325322337160001,12,0.7167678497183755
1.789,0.12763742689404187,0.5643588198536255,0.6470787665260334,0.09865037599700334,11,0.7317078268761372
1.921,0.14593375809804862,0.5900397756839707,0.6166114892932,0.09350026141323332,11,0.7484668791127382
1.5,0.15370827042102972,0.5673651904053993,0.6470430237987667,0.050550599362059995,11,0.7891751544259343
1.395,0.15250225211850033,0.5577119894843549,0.6167068265489334,0.07944414146459,11,0.7960308859572127
20.0,0.1984218354667175,0.6011178070676888,0.8567030198497,0.49514671373653335,11,0.8591397278430061
1.526,0.16558285413366783,0.5094111668784238,0.6095244107163,0.06031723635635666,11,0.8746733573261838
1.658,0.14921235836130564,0.4629034106499332,0.6469173456409,0.05854034685856999,11,0.8832082563248701
1.0,0.19239510366488874,0.5132927091949924,0.5868050407558,0.029541652336476668,12,0.9329852719223758
1.263,0.19662285064812277,0.4178004345816294,0.6007093610758667,0.009534036559158,12,1.038284191052218
1.132,0.236459778259323,0.4629128179829102,0.5244633756939666,0.004383903100324,12,1.085577192661209
0.75,0.23778709267235443,0.4595712691219744,0.5089238302671001,0.020069994628916666,11,1.0919975682972138
0.5,0.2509574841361169,0.4576350878693972,0.48714585824253337,0.01801670151793,12,1.1244836731237866
0.35,0.30198867744291846,0.31448343646115556,0.41055957012960004,0.002711398989906333,1,1.3860068292592858
0.2,0.3846662616360506,0.3055039476997783,0.2786663438088333,0.0020981664672336665,12,1.586764511199837
0.1,0.4311104553784608,0.23577475352716024,0.20751942861823336,0.001584357862559,1,1.7642252464728396
