year,scenario,age_band,metric,incidence_per1000,ci_lo,ci_hi,pct_reduction_vs_BAU,red_lo,red_hi
2025,5th+to10y,U5,clinical,1356.9,1239.8,1514.1,28.5,19.6,36.3
2025,5th+to10y,5-10,clinical,1044.3,930.2,1194.8,69.3,64.8,73.0
2025,5th+to10y,10-15,clinical,2402.7,2153.3,2626.1,6.8,-5.3,17.9
2025,5th+to10y,U15,clinical,1540.5,1464.3,1647.0,40.4,35.4,45.5
2025,5th+to15y,U5,clinical,1304.5,1190.2,1479.3,31.2,18.6,40.1
2025,5th+to15y,5-10,clinical,1043.6,904.0,1164.0,69.4,65.3,73.8
2025,5th+to15y,10-15,clinical,856.5,758.4,980.1,66.7,60.6,71.5
2025,5th+to15y,U15,clinical,1095.0,1018.4,1194.9,57.7,52.9,61.5
2026,BAU,U5,clinical,1831.5,1659.2,2021.0,,,
2026,BAU,5-10,clinical,3498.8,3258.2,3753.3,,,
2026,BAU,10-15,clinical,2601.9,2363.5,2843.9,,,
2026,BAU,U15,clinical,2595.8,2422.2,2757.2,,,
2026,+5th cycle,U5,clinical,1342.8,1208.1,1486.9,26.5,16.9,36.0
2026,+5th cycle,5-10,clinical,3499.9,3226.3,3780.4,-0.1,-7.9,6.2
2026,+5th cycle,10-15,clinical,2558.4,2304.2,2750.0,1.5,-7.8,10.6
2026,+5th cycle,U15,clinical,2394.9,2279.2,2550.0,7.7,1.3,13.3
2026,age_to_10y,U5,clinical,1857.1,1657.2,2092.3,-1.6,-15.7,10.7
2026,age_to_10y,5-10,clinical,1456.5,1313.0,1610.9,58.3,54.1,62.1
2026,age_to_10y,10-15,clinical,2564.3,2288.7,2747.3,1.3,-9.7,10.8
2026,age_to_10y,U15,clinical,1919.5,1790.0,2041.2,26.0,20.1,32.5
2026,age_to_15y,U5,clinical,1823.8,1656.8,2004.8,0.1,-15.3,11.6
2026,age_to_15y,5-10,clinical,1507.0,1319.9,1653.6,56.9,52.5,62.0
2026,age_to_15y,10-15,clinical,1207.3,1062.9,1361.1,53.5,46.4,61.4
2026,age_to_15y,U15,clinical,1549.5,1435.2,1670.7,40.3,33.7,44.7
2026,5th+to10y,U5,clinical,1324.0,1207.9,1459.7,27.5,19.3,37.8
2026,5th+to10y,5-10,clinical,975.6,850.1,1094.4,72.1,68.6,75.2
2026,5th+to10y,10-15,clinical,2485.6,2271.5,2761.2,4.3,-8.9,14.4
2026,5th+to10y,U15,clinical,1528.5,1442.3,1660.4,41.1,36.1,45.4
2026,5th+to15y,U5,clinical,1285.3,1142.9,1493.3,29.7,18.2,38.7
2026,5th+to15y,5-10,clinical,1012.7,873.9,1153.5,71.0,67.9,75.4
2026,5th+to15y,10-15,clinical,834.4,751.3,943.2,67.9,63.8,71.8
2026,5th+to15y,U15,clinical,1071.1,965.2,1205.3,58.7,54.2,62.5
2027,BAU,U5,clinical,1867.8,1638.4,2104.2,,,
2027,BAU,5-10,clinical,3199.4,2946.1,3498.9,,,
2027,BAU,10-15,clinical,2281.5,2069.3,2484.2,,,
2027,BAU,U15,clinical,2422.4,2256.4,2593.9,,,
2027,+5th cycle,U5,clinical,1372.5,1210.6,1484.6,26.2,12.5,40.3
2027,+5th cycle,5-10,clinical,3182.6,2920.1,3355.4,0.4,-9.6,7.7
2027,+5th cycle,10-15,clinical,2262.8,2054.6,2479.3,0.7,-12.1,10.5
2027,+5th cycle,U15,clinical,2218.1,2097.3,2331.0,8.3,0.7,15.1
2027,age_to_10y,U5,clinical,1865.4,1673.6,2059.2,-0.1,-14.1,9.9
2027,age_to_10y,5-10,clinical,1611.3,1445.3,1818.5,49.6,43.4,55.2
2027,age_to_10y,10-15,clinical,2298.3,2048.7,2553.4,-0.9,-11.8,10.7
2027,age_to_10y,U15,clinical,1901.7,1786.7,2011.4,21.4,16.4,27.1
2027,age_to_15y,U5,clinical,1780.8,1573.1,1967.3,4.4,-8.8,18.8
2027,age_to_15y,5-10,clinical,1652.3,1448.3,1838.6,48.3,41.8,54.7
2027,age_to_15y,10-15,clinical,1284.6,1102.1,1450.3,43.6,34.4,52.3
2027,age_to_15y,U15,clinical,1601.3,1473.9,1731.5,33.8,28.4,39.2
2027,5th+to10y,U5,clinical,1348.4,1149.0,1513.2,27.5,15.5,38.8
2027,5th+to10y,5-10,clinical,1027.6,916.2,1153.5,67.8,63.7,71.7
2027,5th+to10y,10-15,clinical,2233.0,1989.8,2475.6,1.9,-11.1,15.4
2027,5th+to10y,U15,clinical,1489.9,1371.6,1606.9,38.4,32.0,45.0
2027,5th+to15y,U5,clinical,1300.1,1152.4,1458.6,30.1,19.5,40.3
2027,5th+to15y,5-10,clinical,1057.9,907.5,1210.7,66.9,61.9,72.5
2027,5th+to15y,10-15,clinical,842.1,685.1,959.9,63.0,56.1,68.8
2027,5th+to15y,U15,clinical,1092.8,991.8,1212.2,54.8,50.1,60.0
2023,BAU,U5,severe,7.1,0.0,16.6,,,
2023,BAU,5-10,severe,2.0,0.0,8.0,,,
2023,BAU,10-15,severe,0.6,0.0,5.0,,,
2023,BAU,U15,severe,3.6,0.0,7.7,,,
2023,+5th cycle,U5,severe,5.5,0.0,14.0,,,
2023,+5th cycle,5-10,severe,1.8,0.0,7.7,,,
2023,+5th cycle,10-15,severe,0.8,0.0,4.9,,,
2023,+5th cycle,U15,severe,3.0,0.0,6.3,,,
2023,age_to_10y,U5,severe,6.4,0.0,18.2,,,
2023,age_to_10y,5-10,severe,0.6,0.0,4.1,,,
2023,age_to_10y,10-15,severe,0.4,0.0,4.8,,,
2023,age_to_10y,U15,severe,2.8,0.0,7.2,,,
2023,age_to_15y,U5,severe,6.2,0.0,15.6,,,
2023,age_to_15y,5-10,severe,0.5,0.0,4.1,,,
2023,age_to_15y,10-15,severe,0.2,0.0,4.4,,,
2023,age_to_15y,U15,severe,2.7,0.0,7.0,,,
2023,5th+to10y,U5,severe,5.4,0.0,14.7,,,
2023,5th+to10y,5-10,severe,0.6,0.0,4.1,,,
2023,5th+to10y,10-15,severe,0.7,0.0,5.0,,,
2023,5th+to10y,U15,severe,2.5,0.0,6.4,,,
2023,5th+to15y,U5,severe,5.0,0.0,13.6,,,
2023,5th+to15y,5-10,severe,0.4,0.0,4.1,,,
2023,5th+to15y,10-15,severe,0.2,0.0,4.7,,,
2023,5th+to15y,U15,severe,2.1,0.0,5.9,,,
2024,BAU,U5,severe,6.4,0.0,14.7,,,
2024,BAU,5-10,severe,2.2,0.0,11.3,,,
2024,BAU,10-15,severe,0.5,0.0,5.0,,,
2024,BAU,U15,severe,3.4,0.6,7.9,,,
2024,+5th cycle,U5,severe,2.7,0.0,10.0,,,
2024,+5th cycle,5-10,severe,2.5,0.0,8.0,,,
2024,+5th cycle,10-15,severe,0.6,0.0,5.3,,,
2024,+5th cycle,U15,severe,2.1,0.0,5.5,,,
2024,age_to_10y,U5,severe,6.7,0.0,19.4,,,
2024,age_to_10y,5-10,severe,1.0,0.0,7.4,,,
2024,age_to_10y,10-15,severe,0.2,0.0,4.1,,,
2024,age_to_10y,U15,severe,3.0,0.0,7.6,,,
2024,age_to_15y,U5,severe,5.5,0.0,13.8,,,
2024,age_to_15y,5-10,severe,0.5,0.0,3.8,,,
2024,age_to_15y,10-15,severe,0.1,0.0,0.0,,,
2024,age_to_15y,U15,severe,2.3,0.0,6.3,,,
2024,5th+to10y,U5,severe,3.1,0.0,8.2,,,
2024,5th+to10y,5-10,severe,0.3,0.0,3.8,,,
2024,5th+to10y,10-15,severe,0.2,0.0,4.6,,,
2024,5th+to10y,U15,severe,1.4,0.0,4.3,,,
2024,5th+to15y,U5,severe,3.4,0.0,9.7,,,
2024,5th+to15y,5-10,severe,0.4,0.0,4.0,,,
2024,5th+to15y,10-15,severe,0.3,0.0,4.5,,,
2024,5th+to15y,U15,severe,1.5,0.0,4.2,,,
2025,BAU,U5,severe,6.7,0.0,15.5,,,
2025,BAU,5-10,severe,2.5,0.0,10.3,,,
2025,BAU,10-15,severe,0.3,0.0,4.1,,,
2025,BAU,U15,severe,3.5,0.5,7.5,,,
2025,+5th cycle,U5,severe,3.8,0.0,12.0,,,
2025,+5th cycle,5-10,severe,2.6,0.0,9.0,,,
2025,+5th cycle,10-15,severe,0.8,0.0,4.5,,,
2025,+5th cycle,U15,severe,2.6,0.0,5.8,,,
2025,age_to_10y,U5,severe,7.0,0.0,15.9,,,
2025,age_to_10y,5-10,severe,0.5,0.0,3.8,,,
2025,age_to_10y,10-15,severe,0.8,0.0,4.4,,,
2025,age_to_10y,U15,severe,3.1,0.0,6.1,,,
2025,age_to_15y,U5,severe,7.9,0.0,16.1,,,
2025,age_to_15y,5-10,severe,0.7,0.0,5.0,,,
2025,age_to_15y,10-15,severe,0.1,0.0,0.0,,,
2025,age_to_15y,U15,severe,3.4,0.0,6.8,,,
2025,5th+to10y,U5,severe,2.9,0.0,8.0,,,
2025,5th+to10y,5-10,severe,0.2,0.0,3.2,,,
2025,5th+to10y,10-15,severe,0.5,0.0,4.1,,,
2025,5th+to10y,U15,severe,1.3,0.0,4.2,,,
2025,5th+to15y,U5,severe,3.2,0.0,12.1,,,
2025,5th+to15y,5-10,severe,0.6,0.0,3.9,,,
2025,5th+to15y,10-15,severe,0.1,0.0,0.0,,,
2025,5th+to15y,U15,severe,1.5,0.0,4.8,,,
2026,BAU,U5,severe,6.2,0.0,16.4,,,
2026,BAU,5-10,severe,2.4,0.0,10.1,,,
2026,BAU,10-15,severe,0.4,0.0,5.0,,,
2026,BAU,U15,severe,3.3,0.0,7.5,,,
2026,+5th cycle,U5,severe,3.1,0.0,9.5,,,
2026,+5th cycle,5-10,severe,2.7,0.0,11.4,,,
2026,+5th cycle,10-15,severe,0.7,0.0,5.0,,,
2026,+5th cycle,U15,severe,2.3,0.0,5.4,,,
2026,age_to_10y,U5,severe,7.4,0.0,20.7,,,
2026,age_to_10y,5-10,severe,0.4,0.0,4.1,,,
2026,age_to_10y,10-15,severe,1.1,0.0,6.6,,,
2026,age_to_10y,U15,severe,3.3,0.0,9.2,,,
2026,age_to_15y,U5,severe,6.5,0.0,14.9,,,
2026,age_to_15y,5-10,severe,0.6,0.0,4.1,,,
2026,age_to_15y,10-15,severe,0.2,0.0,4.5,,,
2026,age_to_15y,U15,severe,2.9,0.0,7.3,,,
2026,5th+to10y,U5,severe,3.5,0.0,12.5,,,
2026,5th+to10y,5-10,severe,0.2,0.0,3.7,,,
2026,5th+to10y,10-15,severe,0.5,0.0,4.8,,,
2026,5th+to10y,U15,severe,1.6,0.0,4.9,,,
2026,5th+to15y,U5,severe,2.9,0.0,7.3,,,
2026,5th+to15y,5-10,severe,0.3,0.0,4.0,,,
2026,5th+to15y,10-15,severe,0.1,0.0,0.0,,,
2026,5th+to15y,U15,severe,1.3,0.0,3.3,,,
2027,BAU,U5,severe,6.7,0.0,17.1,,,
2027,BAU,5-10,severe,1.9,0.0,9.5,,,
2027,BAU,10-15,severe,0.7,0.0,6.7,,,
2027,BAU,U15,severe,3.5,0.5,7.2,,,
2027,+5th cycle,U5,severe,3.5,0.0,11.7,,,
2027,+5th cycle,5-10,severe,2.2,0.0,8.7,,,
2027,+5th cycle,10-15,severe,0.8,0.0,8.8,,,
2027,+5th cycle,U15,severe,2.3,0.0,6.4,,,
2027,age_to_10y,U5,severe,7.6,0.0,23.6,,,
2027,age_to_10y,5-10,severe,0.8,0.0,10.4,,,
2027,age_to_10y,10-15,severe,0.4,0.0,4.4,,,
2027,age_to_10y,U15,severe,3.3,0.0,8.9,,,
2027,age_to_15y,U5,severe,8.0,2.8,17.0,,,
2027,age_to_15y,5-10,severe,0.5,0.0,4.1,,,
2027,age_to_15y,10-15,severe,0.1,0.0,0.0,,,
2027,age_to_15y,U15,severe,3.3,1.1,7.5,,,
2027,5th+to10y,U5,severe,4.0,0.0,12.9,,,
2027,5th+to10y,5-10,severe,0.0,0.0,0.0,,,
2027,5th+to10y,10-15,severe,0.8,0.0,6.7,,,
2027,5th+to10y,U15,severe,1.8,0.0,5.1,,,
2027,5th+to15y,U5,severe,3.2,0.0,12.8,,,
2027,5th+to15y,5-10,severe,0.6,0.0,4.0,,,
2027,5th+to15y,10-15,severe,0.1,0.0,0.0,,,
2027,5th+to15y,U15,severe,1.5,0.0,5.5,,,
