year,scenario,age_band,metric,incidence_per1000,ci_lo,ci_hi,pct_reduction_vs_BAU,red_lo,red_hi
2025,SMC-4 (U10),10-15,clinical,2924.3,2731.3,3141.6,2.8,-5.4,9.6
2025,SMC-4 (U10),U15,clinical,2242.0,2110.5,2398.2,21.1,16.0,25.5
2025,SMC-4 (U15),U5,clinical,2015.2,1773.6,2249.3,1.6,-6.5,9.3
2025,SMC-4 (U15),5-10,clinical,1939.9,1777.8,2144.8,47.1,43.0,51.6
2025,SMC-4 (U15),10-15,clinical,1663.8,1514.8,1836.7,44.7,38.5,50.7
2025,SMC-4 (U15),U15,clinical,1893.0,1760.9,2072.9,33.4,28.9,37.7
2025,SMC-5 (U10),U5,clinical,1652.9,1462.1,1848.1,19.2,12.1,28.5
2025,SMC-5 (U10),5-10,clinical,1492.1,1353.6,1663.7,59.3,55.6,63.0
2025,SMC-5 (U10),10-15,clinical,2857.7,2666.1,3076.2,5.0,-5.2,11.5
2025,SMC-5 (U10),U15,clinical,1934.6,1772.8,2066.1,32.0,28.1,36.2
2025,SMC-5 (U15),U5,clinical,1601.5,1378.9,1819.5,21.8,10.3,32.6
2025,SMC-5 (U15),5-10,clinical,1502.4,1307.2,1700.9,59.0,54.6,63.4
2025,SMC-5 (U15),10-15,clinical,1296.6,1157.1,1494.9,56.9,51.2,62.9
2025,SMC-5 (U15),U15,clinical,1484.5,1305.7,1633.3,47.8,42.8,52.7
2026,BAU: SMC-4 (U5),U5,clinical,1986.5,1774.2,2236.1,,,
2026,BAU: SMC-4 (U5),5-10,clinical,3679.2,3418.8,3922.7,,,
2026,BAU: SMC-4 (U5),10-15,clinical,2972.1,2805.0,3232.3,,,
2026,BAU: SMC-4 (U5),U15,clinical,2814.4,2641.6,2979.8,,,
2026,SMC-5 (U5),U5,clinical,1592.8,1425.9,1777.1,19.6,7.1,29.3
2026,SMC-5 (U5),5-10,clinical,3659.8,3425.5,3973.9,0.5,-9.2,8.3
2026,SMC-5 (U5),10-15,clinical,2969.4,2742.5,3167.6,-0.0,-8.5,7.8
2026,SMC-5 (U5),U15,clinical,2654.2,2469.1,2882.6,5.6,-3.4,12.8
2026,SMC-4 (U10),U5,clinical,1976.2,1734.4,2164.1,0.2,-13.1,15.3
2026,SMC-4 (U10),5-10,clinical,1752.8,1577.1,1928.2,52.3,47.1,58.1
2026,SMC-4 (U10),10-15,clinical,2911.0,2662.6,3199.7,2.0,-6.5,10.3
2026,SMC-4 (U10),U15,clinical,2162.8,1969.8,2357.4,23.1,16.3,29.7
2026,SMC-4 (U15),U5,clinical,1938.1,1725.0,2165.5,2.3,-8.5,12.5
2026,SMC-4 (U15),5-10,clinical,1785.6,1641.6,1984.6,51.4,47.0,55.7
2026,SMC-4 (U15),10-15,clinical,1532.4,1317.7,1699.0,48.4,42.3,55.5
2026,SMC-4 (U15),U15,clinical,1775.3,1644.0,1933.4,36.9,32.8,41.2
2026,SMC-5 (U10),U5,clinical,1573.4,1420.0,1750.9,20.6,11.8,30.5
2026,SMC-5 (U10),5-10,clinical,1355.0,1176.4,1492.3,63.2,59.9,68.1
2026,SMC-5 (U10),10-15,clinical,2915.6,2652.0,3149.4,1.8,-6.1,11.1
2026,SMC-5 (U10),U15,clinical,1874.2,1732.5,1979.0,33.4,28.6,39.0
2026,SMC-5 (U15),U5,clinical,1531.9,1310.9,1721.7,22.8,13.6,31.5
2026,SMC-5 (U15),5-10,clinical,1389.3,1188.7,1578.2,62.2,58.7,66.1
2026,SMC-5 (U15),10-15,clinical,1226.1,1105.3,1384.6,58.7,53.6,64.1
2026,SMC-5 (U15),U15,clinical,1400.0,1246.7,1526.7,50.2,46.5,55.3
2027,BAU: SMC-4 (U5),U5,clinical,2005.4,1794.6,2249.2,,,
2027,BAU: SMC-4 (U5),5-10,clinical,3471.9,3178.1,3759.0,,,
2027,BAU: SMC-4 (U5),10-15,clinical,2736.5,2508.4,2997.9,,,
2027,BAU: SMC-4 (U5),U15,clinical,2690.1,2504.7,2864.8,,,
2027,SMC-5 (U5),U5,clinical,1634.6,1442.4,1865.4,18.3,6.5,26.9
2027,SMC-5 (U5),5-10,clinical,3463.5,3191.4,3676.6,0.1,-9.0,7.3
2027,SMC-5 (U5),10-15,clinical,2728.7,2513.2,2931.3,0.1,-9.3,9.3
2027,SMC-5 (U5),U15,clinical,2539.4,2327.4,2720.5,5.5,-1.9,12.6
2027,SMC-4 (U10),U5,clinical,1999.0,1775.1,2203.8,0.1,-11.2,11.4
2027,SMC-4 (U10),5-10,clinical,1851.4,1717.2,2019.4,46.6,41.5,51.1
2027,SMC-4 (U10),10-15,clinical,2765.6,2577.9,3038.5,-1.2,-14.6,9.2
2027,SMC-4 (U10),U15,clinical,2162.5,2000.4,2331.2,19.5,12.5,26.6
2027,SMC-4 (U15),U5,clinical,1961.2,1757.1,2194.6,2.0,-9.8,13.6
2027,SMC-4 (U15),5-10,clinical,1899.5,1708.4,2093.2,45.2,39.8,49.6
2027,SMC-4 (U15),10-15,clinical,1649.5,1470.2,1824.3,39.6,31.0,46.1
2027,SMC-4 (U15),U15,clinical,1854.6,1714.7,1999.1,31.0,26.1,35.8
2027,SMC-5 (U10),U5,clinical,1587.5,1351.9,1760.9,20.7,6.2,30.4
2027,SMC-5 (U10),5-10,clinical,1377.9,1202.2,1540.4,60.3,56.6,64.0
