,airtemp_C,rh_pct,rain_mm
2001-06-17,28.06,69.9,1.84
2001-06-18,27.75,71.3,1.47
2001-06-19,28.41,69.66,2.91
2001-06-20,27.57,74.22,7.02
2001-06-21,27.73,73.41,8.51
2001-06-22,25.49,88.0,10.56
2001-06-23,26.3,79.55,4.79
2001-06-24,25.9,81.26,12.02
2001-06-25,25.96,82.47,4.86
2001-06-26,27.34,75.18,5.11
2001-06-27,26.33,82.71,7.09
2001-06-28,26.43,78.13,7.59
2001-06-29,25.82,80.69,6.85
2001-06-30,26.66,77.56,1.42
2001-07-01,26.71,79.59,6.57
2001-07-02,27.18,78.29,4.15
2001-07-03,26.83,80.87,5.66
2001-07-04,25.5,84.84,4.74
2001-07-05,26.73,78.67,1.59
2001-07-06,26.6,79.38,3.4
2001-07-07,26.81,76.51,1.61
2001-07-08,27.25,75.22,1.71
2001-07-09,27.56,73.99,1.98
2001-07-10,26.79,77.51,5.41
2001-07-11,26.3,82.53,11.97
2001-07-12,25.32,85.74,4.63
2001-07-13,26.17,80.62,4.77
2001-07-14,27.31,77.64,4.59
2001-07-15,27.16,78.09,3.7
2001-07-16,25.71,81.69,6.27
2001-07-17,24.9,84.09,8.16
2001-07-18,25.87,80.05,3.48
2001-07-19,26.27,78.13,2.6
2001-07-20,25.98,82.65,5.86
2001-07-21,25.9,80.07,4.22
2001-07-22,24.77,84.01,5.11
2001-07-23,23.99,88.56,15.74
2001-07-24,24.34,87.32,6.48
2001-07-25,24.41,84.53,0.99
2001-07-26,24.97,81.15,0.83
2001-07-27,26.35,77.75,1.18
2001-07-28,26.07,77.24,1.1
2001-07-29,26.02,81.25,2.66
2001-07-30,26.11,78.36,3.02
2001-07-31,26.18,75.69,2.78
2001-08-01,26.1,77.11,1.56
2001-08-02,25.99,76.21,1.17
2001-08-03,26.2,72.07,0.46
2001-08-04,26.54,73.78,4.11
2001-08-05,25.86,78.19,2.42
2001-08-06,27.78,69.9,2.79
2001-08-07,26.34,80.49,8.7
2001-08-08,24.64,86.87,3.3
2001-08-09,25.54,78.89,3.43
2001-08-10,26.62,76.94,4.1
2001-08-11,27.27,78.28,7.1
2001-08-12,26.72,78.58,1.02
2001-08-13,25.89,80.63,4.72
2001-08-14,25.42,81.6,8.85
2001-08-15,26.21,78.58,3.2
2001-08-16,26.22,80.93,4.12
2001-08-17,26.86,78.26,3.71
2001-08-18,27.67,75.54,3.18
2001-08-19,27.35,78.06,3.07
2001-08-20,26.09,83.25,6.92
2001-08-21,25.22,86.52,7.03
2001-08-22,25.49,83.59,3.63
2001-08-23,26.85,79.28,1.91
2001-08-24,26.78,81.77,5.89
2001-08-25,25.83,80.38,8.36
2001-08-26,26.43,76.73,5.53
2001-08-27,27.01,79.28,7.89
2001-08-28,26.14,83.73,5.29
2001-08-29,26.33,80.36,2.43
2001-08-30,25.51,83.25,8.36
2001-08-31,27.06,76.57,3.42
2001-09-01,26.77,78.45,4.29
2001-09-02,26.72,77.72,2.82
2001-09-03,25.76,85.11,11.93
2001-09-04,25.7,82.42,4.15
2001-09-05,25.64,84.22,3.77
2001-09-06,25.56,84.13,7.16
2001-09-07,25.0,84.93,8.71
2001-09-08,25.66,83.35,21.9
2001-09-09,26.22,82.66,6.19
2001-09-10,25.52,84.88,4.69
2001-09-11,26.81,80.43,5.6
2001-09-12,26.34,83.57,2.99
2001-09-13,25.95,82.43,0.77
2001-09-14,25.7,82.12,1.41
2001-09-15,26.03,80.89,4.37
2001-09-16,26.33,78.69,2.34
2001-09-17,25.88,81.5,2.13
2001-09-18,25.09,84.83,7.34
2001-09-19,24.78,83.73,8.04
2001-09-20,25.25,83.26,10.58
2001-09-21,26.75,78.86,8.61
2001-09-22,25.83,85.93,7.49
2001-09-23,24.29,90.35,10.34
2001-09-24,25.96,82.89,2.77
2001-09-25,26.65,81.12,8.65
2001-09-26,26.1,84.11,4.68
2001-09-27,24.55,90.48,5.72
2001-09-28,26.03,82.75,3.87
2001-09-29,26.02,81.61,5.32
2001-09-30,27.02,78.0,3.24
2001-10-01,27.23,77.39,3.04
2001-10-02,26.84,80.85,3.16
2001-10-03,26.81,79.06,3.25
2001-10-04,26.9,79.62,2.48
2001-10-05,26.87,79.23,1.5
2001-10-06,26.39,82.87,3.9
2001-10-07,26.8,79.13,3.71
2001-10-08,26.7,80.05,1.82
2001-10-09,27.14,78.59,3.13
2001-10-10,27.76,76.02,2.44
2001-10-11,27.85,74.89,3.38
2001-10-12,28.23,72.34,1.83
2001-10-13,27.98,73.44,0.09
2001-10-14,28.02,71.36,0.49
2001-10-15,27.87,70.76,0.39
2001-10-16,28.06,69.44,0.26
2001-10-17,28.2,68.0,0.13
2001-10-18,27.93,72.45,1.02
2001-10-19,29.05,67.51,0.64
2001-10-20,29.09,67.89,1.1
2001-10-21,29.07,67.65,1.65
2001-10-22,29.26,63.22,2.33
2001-10-23,29.36,64.61,0.07
2001-10-24,29.37,63.4,0.07
2001-10-25,28.73,63.22,0.11
2001-10-26,28.3,59.55,0.17
2001-10-27,27.79,55.34,0.08
2001-10-28,26.59,52.56,1.15
2001-10-29,26.88,49.51,0.4
2001-10-30,27.43,57.04,1.09
2001-10-31,28.25,64.17,0.96
2001-11-01,27.55,59.48,0.72
2001-11-02,26.74,50.92,0.0
2001-11-03,27.49,50.84,0.0
2001-11-04,27.99,48.93,0.0
2001-11-05,28.51,48.18,0.0
2001-11-06,28.31,45.89,0.0
2001-11-07,27.76,43.53,0.01
2001-11-08,28.43,48.75,0.27
2001-11-09,28.75,47.75,0.4
2001-11-10,29.06,59.39,0.21
2001-11-11,28.94,61.45,0.17
2001-11-12,29.42,58.25,0.35
2001-11-13,29.82,56.09,0.27
2001-11-14,29.23,57.92,0.14
2001-11-15,29.2,59.33,0.29
2001-11-16,29.54,52.48,0.24
2001-11-17,27.47,44.9,0.03
2001-11-18,27.13,37.08,0.0
2001-11-19,26.54,39.22,0.0
2001-11-20,27.9,43.64,0.07
2001-11-21,28.82,47.45,0.08
2001-11-22,28.15,56.78,0.93
2001-11-23,29.7,56.69,1.59
2001-11-24,29.29,57.59,2.02
2001-11-25,29.32,59.57,0.86
2001-11-26,28.96,50.96,1.38
2001-11-27,28.75,65.57,1.34
2001-11-28,28.92,65.49,1.36
2001-11-29,29.01,52.32,0.31
2001-11-30,27.26,40.92,0.0
2001-12-01,26.7,57.09,0.05
2001-12-02,27.2,43.0,0.0
2001-12-03,26.35,35.28,0.0
2001-12-04,27.04,38.58,0.0
2001-12-05,26.51,38.67,0.0
2001-12-06,25.89,34.12,0.0
2001-12-07,25.07,31.84,0.0
2001-12-08,24.07,31.36,0.0
2001-12-09,24.82,34.4,0.0
2001-12-10,26.32,35.95,0.0
2001-12-11,27.53,34.48,0.0
2001-12-12,26.63,35.12,0.0
2001-12-13,28.17,28.78,0.0
2001-12-14,28.55,40.93,0.0
2001-12-15,30.33,40.76,0.0
2001-12-16,28.89,37.28,0.0
2001-12-17,28.76,36.03,0.0
2001-12-18,28.88,32.63,0.0
2001-12-19,29.59,41.36,0.0
2001-12-20,30.07,40.39,0.0
2001-12-21,28.91,29.65,0.0
2001-12-22,28.39,32.75,0.0
2001-12-23,28.11,27.64,0.0
2001-12-24,28.09,29.37,0.0
2001-12-25,26.9,37.34,0.0
2001-12-26,26.98,26.54,0.0
2001-12-27,27.16,27.31,0.0
2001-12-28,27.19,21.88,0.0
2001-12-29,26.95,23.64,0.0
2001-12-30,27.07,23.52,0.0
2001-12-31,27.89,30.87,0.0
2002-01-01,27.32,24.92,0.0
2002-01-02,26.52,26.16,0.0
2002-01-03,25.9,24.65,0.0
2002-01-04,26.83,24.12,0.0
2002-01-05,27.06,21.46,0.0
2002-01-06,27.55,26.79,0.01
2002-01-07,29.08,58.59,0.68
2002-01-08,27.58,62.05,1.45
2002-01-09,25.52,33.13,0.0
2002-01-10,25.54,28.96,0.0
2002-01-11,24.58,25.35,0.0
2002-01-12,22.36,25.18,0.0
2002-01-13,23.14,22.26,0.0
2002-01-14,23.41,21.19,0.0
2002-01-15,24.15,22.84,0.0
2002-01-16,24.87,24.07,0.0
2002-01-17,25.28,26.07,0.0
2002-01-18,26.34,23.86,0.0
2002-01-19,27.29,22.06,0.0
2002-01-20,27.46,20.95,0.0
2002-01-21,27.97,19.63,0.0
2002-01-22,27.08,21.82,0.0
2002-01-23,27.3,20.83,0.0
2002-01-24,26.97,21.18,0.0
2002-01-25,26.77,21.67,0.0
2002-01-26,26.2,21.59,0.0
2002-01-27,26.15,17.92,0.0
2002-01-28,25.85,17.77,0.0
2002-01-29,26.18,17.35,0.0
2002-01-30,26.02,18.64,0.0
2002-01-31,25.27,17.78,0.0
2002-02-01,26.54,17.84,0.0
2002-02-02,25.83,19.76,0.0
2002-02-03,27.57,21.59,0.0
2002-02-04,27.37,19.85,0.0
2002-02-05,27.45,18.74,0.0
2002-02-06,26.82,16.93,0.0
2002-02-07,27.76,18.05,0.0
2002-02-08,28.46,17.3,0.0
2002-02-09,28.18,14.84,0.0
2002-02-10,27.76,14.24,0.0
2002-02-11,27.37,15.28,0.0
2002-02-12,26.98,16.57,0.0
2002-02-13,27.47,16.78,0.0
2002-02-14,28.03,17.22,0.0
2002-02-15,28.15,16.2,0.0
2002-02-16,28.45,18.15,0.0
2002-02-17,29.73,23.64,0.0
2002-02-18,30.48,30.93,0.0
2002-02-19,29.87,18.41,0.0
2002-02-20,29.02,14.96,0.03
2002-02-21,30.01,26.34,0.21
2002-02-22,31.71,44.04,0.35
2002-02-23,32.52,29.23,0.65
2002-02-24,31.48,15.34,0.01
2002-02-25,31.03,16.49,0.13
2002-02-26,30.02,17.69,0.08
2002-02-27,30.42,14.85,0.01
2002-02-28,29.6,37.23,0.33
2002-03-01,30.97,38.37,0.6
2002-03-02,31.99,40.3,0.47
2002-03-03,32.78,29.36,0.66
2002-03-04,31.33,25.41,0.0
2002-03-05,31.75,23.16,0.73
2002-03-06,32.33,43.35,0.64
2002-03-07,32.55,52.41,6.91
2002-03-08,30.21,66.49,7.54
2002-03-09,29.71,66.87,3.83
2002-03-10,29.64,67.16,3.6
2002-03-11,30.06,64.09,5.42
2002-03-12,31.62,55.38,0.64
2002-03-13,32.37,47.27,0.4
2002-03-14,32.17,49.13,1.45
2002-03-15,31.48,56.13,1.15
2002-03-16,30.73,58.7,0.7
2002-03-17,29.89,63.67,2.94
2002-03-18,29.55,62.61,0.23
2002-03-19,31.5,52.08,0.02
2002-03-20,31.25,56.26,2.33
2002-03-21,30.75,54.95,1.23
2002-03-22,30.07,49.93,0.12
2002-03-23,30.31,58.58,1.79
2002-03-24,30.59,58.67,1.41
2002-03-25,29.88,59.74,1.17
2002-03-26,31.0,54.81,2.27
2002-03-27,31.59,52.51,0.59
2002-03-28,31.99,53.9,0.18
2002-03-29,32.22,53.34,0.41
2002-03-30,33.21,41.04,0.41
2002-03-31,32.46,42.68,0.75
2002-04-01,33.26,44.99,0.5
2002-04-02,33.77,44.9,0.56
2002-04-03,33.26,48.84,0.37
2002-04-04,33.15,49.32,0.47
2002-04-05,33.09,47.23,0.32
2002-04-06,31.69,57.66,14.33
2002-04-07,29.58,72.11,13.46
2002-04-08,28.67,72.79,10.89
2002-04-09,29.77,67.77,7.1
2002-04-10,28.76,72.38,11.08
2002-04-11,29.59,72.25,1.16
2002-04-12,29.53,72.38,1.8
2002-04-13,29.5,71.84,3.06
2002-04-14,28.92,72.95,1.21
2002-04-15,28.1,73.9,3.35
2002-04-16,27.81,74.27,0.69
2002-04-17,29.92,64.78,2.64
2002-04-18,28.12,74.43,1.13
2002-04-19,29.66,63.73,0.35
2002-04-20,30.29,58.97,2.71
2002-04-21,30.74,62.04,2.08
2002-04-22,30.24,64.65,1.24
2002-04-23,31.41,57.65,0.87
2002-04-24,31.55,56.2,0.95
2002-04-25,31.86,55.89,2.23
2002-04-26,31.83,57.0,3.48
2002-04-27,30.92,61.88,0.31
2002-04-28,31.21,59.17,0.59
2002-04-29,30.63,62.53,0.56
2002-04-30,30.77,62.14,2.24
2002-05-01,29.27,70.11,3.46
2002-05-02,29.66,69.58,3.25
2002-05-03,28.98,70.72,2.22
2002-05-04,29.41,68.4,4.37
2002-05-05,29.07,69.69,3.25
2002-05-06,28.81,72.45,13.21
2002-05-07,29.28,69.11,4.79
2002-05-08,29.65,70.5,7.7
