,airtemp_C,rh_pct,rain_mm
2001-06-17,28.23,66.13,1.86
2001-06-18,28.77,62.42,1.53
2001-06-19,28.35,67.68,3.04
2001-06-20,27.91,68.94,5.32
2001-06-21,28.39,68.46,3.03
2001-06-22,26.25,78.44,8.33
2001-06-23,26.4,75.02,5.21
2001-06-24,25.67,78.87,16.68
2001-06-25,25.45,80.24,3.48
2001-06-26,27.31,70.33,2.38
2001-06-27,27.02,74.49,3.46
2001-06-28,26.86,72.1,2.48
2001-06-29,26.47,72.31,4.54
2001-06-30,27.29,69.79,2.18
2001-07-01,27.28,72.54,8.92
2001-07-02,27.24,74.8,3.4
2001-07-03,26.16,78.62,10.91
2001-07-04,26.09,76.69,3.26
2001-07-05,27.31,73.53,2.42
2001-07-06,26.59,77.7,5.36
2001-07-07,26.87,72.87,0.85
2001-07-08,26.98,71.77,0.66
2001-07-09,27.24,71.93,2.89
2001-07-10,26.88,74.84,1.78
2001-07-11,27.14,75.02,6.85
2001-07-12,25.84,80.13,4.27
2001-07-13,25.89,78.19,3.21
2001-07-14,27.97,69.24,3.62
2001-07-15,27.55,73.97,2.45
2001-07-16,25.96,77.74,5.9
2001-07-17,24.94,82.53,9.05
2001-07-18,25.96,76.83,5.71
2001-07-19,26.88,72.82,3.25
2001-07-20,26.44,77.54,3.98
2001-07-21,25.99,76.23,3.82
2001-07-22,25.64,78.72,4.7
2001-07-23,24.44,85.67,9.06
2001-07-24,24.88,82.28,11.55
2001-07-25,25.09,82.04,3.73
2001-07-26,25.17,80.58,2.2
2001-07-27,25.55,79.47,4.3
2001-07-28,25.77,78.32,5.32
2001-07-29,25.97,82.03,13.45
2001-07-30,25.95,76.84,2.02
2001-07-31,24.83,80.74,11.27
2001-08-01,24.56,84.68,3.19
2001-08-02,24.2,83.0,2.86
2001-08-03,25.49,75.32,0.92
2001-08-04,26.27,75.35,4.57
2001-08-05,25.4,79.79,4.99
2001-08-06,27.48,70.25,2.43
2001-08-07,26.52,78.79,9.27
2001-08-08,25.27,82.98,2.54
2001-08-09,23.79,85.4,3.58
2001-08-10,25.91,80.18,4.41
2001-08-11,27.14,76.63,5.38
2001-08-12,26.41,78.87,2.05
2001-08-13,25.44,81.37,4.4
2001-08-14,24.3,82.78,26.1
2001-08-15,25.36,79.36,5.9
2001-08-16,25.77,81.69,6.5
2001-08-17,26.67,77.92,3.4
2001-08-18,27.48,74.75,3.5
2001-08-19,27.12,77.45,7.25
2001-08-20,25.86,83.13,12.53
2001-08-21,25.35,85.15,10.17
2001-08-22,24.75,85.73,4.8
2001-08-23,26.14,81.02,6.7
2001-08-24,26.06,83.32,10.79
2001-08-25,25.08,85.09,18.77
2001-08-26,25.51,80.78,3.83
2001-08-27,26.15,81.76,10.56
2001-08-28,25.36,86.42,18.18
2001-08-29,25.28,83.79,4.64
2001-08-30,24.86,85.27,13.14
2001-08-31,26.44,78.14,3.39
2001-09-01,26.14,79.64,6.78
2001-09-02,25.9,80.94,5.32
2001-09-03,25.13,85.39,9.96
2001-09-04,25.58,81.63,3.04
2001-09-05,25.98,82.95,2.24
2001-09-06,25.0,84.87,4.3
2001-09-07,24.86,84.07,9.89
2001-09-08,25.71,82.73,14.08
2001-09-09,25.89,82.24,9.57
2001-09-10,25.1,84.52,3.26
2001-09-11,26.52,78.34,5.12
2001-09-12,26.69,79.77,6.38
2001-09-13,25.89,79.62,0.15
2001-09-14,25.76,80.23,4.29
2001-09-15,25.56,80.97,8.15
2001-09-16,24.24,88.37,5.23
2001-09-17,25.91,80.47,2.21
2001-09-18,25.13,81.77,2.13
2001-09-19,24.71,80.35,5.44
2001-09-20,25.05,81.27,6.9
2001-09-21,26.06,78.79,4.89
2001-09-22,26.21,80.34,9.85
2001-09-23,24.32,87.34,2.81
2001-09-24,25.17,82.61,1.07
2001-09-25,26.14,78.68,3.96
2001-09-26,26.07,78.98,1.12
2001-09-27,25.86,79.31,1.39
2001-09-28,26.22,78.18,1.34
2001-09-29,25.7,80.61,6.7
2001-09-30,26.44,77.18,1.38
2001-10-01,26.74,76.19,1.45
2001-10-02,26.48,78.56,1.54
2001-10-03,26.55,76.96,4.67
2001-10-04,26.32,76.85,3.96
2001-10-05,26.55,76.74,0.8
2001-10-06,26.56,76.82,1.21
2001-10-07,26.82,74.24,2.44
2001-10-08,26.22,78.36,1.38
2001-10-09,26.44,78.01,1.95
2001-10-10,27.46,74.75,1.34
2001-10-11,27.54,74.29,1.86
2001-10-12,27.47,72.94,0.68
2001-10-13,27.43,71.35,0.0
2001-10-14,27.24,70.93,0.02
2001-10-15,27.33,67.07,0.01
2001-10-16,27.33,67.65,0.01
2001-10-17,27.51,64.72,0.02
2001-10-18,27.96,67.48,0.29
2001-10-19,28.62,65.48,0.28
2001-10-20,28.74,62.59,0.38
2001-10-21,28.32,63.96,0.67
2001-10-22,28.36,60.06,0.49
2001-10-23,28.43,60.61,0.1
2001-10-24,28.25,61.42,0.28
2001-10-25,27.86,62.09,0.38
2001-10-26,27.5,61.92,0.43
2001-10-27,27.31,57.07,0.05
2001-10-28,26.45,50.21,0.08
2001-10-29,26.53,48.24,0.01
2001-10-30,26.61,48.45,0.11
2001-10-31,27.56,57.02,0.19
2001-11-01,26.94,58.02,0.14
2001-11-02,25.92,46.67,0.0
2001-11-03,26.65,46.57,0.0
2001-11-04,27.11,46.23,0.0
2001-11-05,27.75,43.63,0.0
2001-11-06,27.49,43.28,0.0
2001-11-07,27.29,40.66,0.0
2001-11-08,27.69,42.46,0.06
2001-11-09,27.97,41.56,0.52
2001-11-10,27.54,49.66,1.04
2001-11-11,28.73,54.46,0.03
2001-11-12,29.06,58.67,0.11
2001-11-13,29.73,54.33,0.24
2001-11-14,28.85,48.76,0.18
2001-11-15,28.44,51.66,0.05
2001-11-16,28.21,49.43,0.07
2001-11-17,26.08,36.6,0.01
2001-11-18,26.91,31.94,0.01
2001-11-19,25.69,32.84,0.0
2001-11-20,26.61,34.52,0.0
2001-11-21,27.31,46.24,0.04
2001-11-22,26.98,40.79,0.1
2001-11-23,28.83,56.12,0.38
2001-11-24,28.86,56.63,0.81
2001-11-25,28.32,52.77,0.02
2001-11-26,28.39,45.53,0.3
2001-11-27,28.75,53.71,0.56
2001-11-28,29.59,57.16,0.38
2001-11-29,28.9,47.54,0.05
2001-11-30,27.15,33.5,0.0
2001-12-01,26.99,34.49,0.0
2001-12-02,26.54,35.16,0.0
2001-12-03,26.23,28.33,0.0
2001-12-04,26.6,31.97,0.02
2001-12-05,26.42,27.92,0.0
2001-12-06,26.1,25.69,0.0
2001-12-07,25.73,24.18,0.0
2001-12-08,24.56,22.62,0.0
2001-12-09,24.77,24.41,0.0
2001-12-10,25.81,28.56,0.0
2001-12-11,26.03,27.91,0.0
2001-12-12,26.97,26.36,0.0
2001-12-13,26.99,28.63,0.0
2001-12-14,27.2,29.85,0.0
2001-12-15,28.95,31.62,0.0
2001-12-16,28.63,26.76,0.0
2001-12-17,28.29,24.38,0.0
2001-12-18,27.94,22.86,0.0
2001-12-19,28.5,27.55,0.0
2001-12-20,29.56,31.67,0.0
2001-12-21,28.64,22.29,0.0
2001-12-22,27.75,22.54,0.0
2001-12-23,27.93,21.36,0.0
2001-12-24,27.54,21.32,0.0
2001-12-25,26.77,25.96,0.0
2001-12-26,27.01,21.07,0.0
2001-12-27,26.79,19.79,0.0
2001-12-28,26.91,15.85,0.0
2001-12-29,26.14,17.42,0.0
2001-12-30,27.45,20.03,0.0
2001-12-31,27.39,23.98,0.0
2002-01-01,27.6,21.06,0.0
2002-01-02,26.75,20.65,0.0
2002-01-03,26.31,18.15,0.0
2002-01-04,26.93,17.17,0.0
2002-01-05,26.78,16.41,0.0
2002-01-06,26.91,17.18,0.01
