,airtemp_C,rh_pct,rain_mm
2001-06-17,30.04,55.6,1.77
2001-06-18,30.09,55.24,1.17
2001-06-19,29.34,61.83,3.84
2001-06-20,28.51,66.63,8.21
2001-06-21,28.7,66.59,6.25
2001-06-22,27.56,74.62,14.47
2001-06-23,27.25,72.55,4.03
2001-06-24,26.88,72.2,9.06
2001-06-25,26.97,72.98,1.6
2001-06-26,28.6,64.74,2.81
2001-06-27,28.63,66.37,1.54
2001-06-28,27.86,66.55,2.19
2001-06-29,27.54,65.95,4.21
2001-06-30,28.0,67.68,4.31
2001-07-01,27.57,73.21,15.38
2001-07-02,27.09,76.9,7.69
2001-07-03,27.12,76.24,15.6
2001-07-04,26.01,79.08,7.82
2001-07-05,27.44,72.99,3.3
2001-07-06,26.57,77.97,3.69
2001-07-07,27.01,72.34,0.56
2001-07-08,27.53,68.54,1.03
2001-07-09,28.65,66.31,2.76
2001-07-10,28.17,69.61,1.16
2001-07-11,27.43,72.47,4.53
2001-07-12,27.64,71.13,1.21
2001-07-13,28.04,68.7,1.84
2001-07-14,29.1,64.23,1.8
2001-07-15,27.42,75.07,3.64
2001-07-16,26.19,79.51,8.32
2001-07-17,25.21,81.89,8.17
2001-07-18,26.58,73.86,5.08
2001-07-19,27.23,71.8,3.67
2001-07-20,26.83,76.18,4.14
2001-07-21,26.7,74.76,3.21
2001-07-22,26.01,77.65,2.63
2001-07-23,26.21,79.07,5.11
2001-07-24,25.12,83.0,8.09
2001-07-25,25.53,79.82,1.71
2001-07-26,25.37,78.72,3.77
2001-07-27,26.55,76.6,5.58
2001-07-28,26.93,75.11,2.88
2001-07-29,25.83,83.07,16.04
2001-07-30,25.63,81.37,5.16
2001-07-31,24.53,84.3,7.58
2001-08-01,25.21,81.18,3.9
2001-08-02,25.72,78.27,2.2
2001-08-03,25.81,75.7,1.8
2001-08-04,26.66,75.71,5.74
2001-08-05,25.98,80.07,3.62
2001-08-06,27.39,72.57,2.61
2001-08-07,26.44,81.89,11.35
2001-08-08,25.26,85.77,1.88
2001-08-09,25.34,79.99,1.94
2001-08-10,26.68,76.62,2.78
2001-08-11,27.24,77.61,6.31
2001-08-12,26.49,80.65,2.22
2001-08-13,25.81,81.88,5.81
2001-08-14,25.04,84.76,21.92
2001-08-15,25.77,80.08,9.54
2001-08-16,25.96,82.91,12.6
2001-08-17,26.39,81.55,5.67
2001-08-18,26.98,79.68,9.21
2001-08-19,26.84,83.32,8.29
2001-08-20,25.5,87.95,14.05
2001-08-21,25.86,84.75,9.07
2001-08-22,25.26,87.56,8.76
2001-08-23,26.08,83.08,6.8
2001-08-24,26.43,82.8,11.51
2001-08-25,25.29,85.65,16.39
2001-08-26,25.42,82.73,6.06
2001-08-27,27.11,77.31,12.83
2001-08-28,26.28,83.2,12.76
2001-08-29,25.68,85.08,4.36
2001-08-30,25.35,86.5,13.25
2001-08-31,26.65,79.56,3.22
2001-09-01,26.56,80.83,5.83
2001-09-02,25.68,84.61,9.0
2001-09-03,26.03,81.56,12.99
2001-09-04,26.07,81.04,3.85
2001-09-05,26.1,83.23,1.84
2001-09-06,25.48,86.57,5.9
2001-09-07,24.84,88.26,25.2
2001-09-08,25.86,84.86,11.61
2001-09-09,26.06,82.49,3.14
2001-09-10,25.21,84.03,5.38
2001-09-11,26.37,80.03,1.99
2001-09-12,26.57,81.97,6.16
2001-09-13,25.6,84.17,0.74
2001-09-14,25.5,82.32,3.85
2001-09-15,25.37,83.39,10.06
2001-09-16,25.43,85.43,3.83
2001-09-17,26.11,82.01,3.45
2001-09-18,24.43,88.22,1.03
2001-09-19,24.58,83.99,4.17
2001-09-20,24.97,83.8,7.59
2001-09-21,26.56,76.7,3.75
2001-09-22,26.02,83.43,4.16
2001-09-23,24.36,91.38,4.05
2001-09-24,25.62,82.76,0.87
2001-09-25,26.16,81.02,2.87
2001-09-26,25.86,83.55,0.86
2001-09-27,25.74,81.63,1.15
2001-09-28,26.07,80.25,2.19
2001-09-29,25.85,82.92,5.37
2001-09-30,26.55,78.27,1.85
2001-10-01,26.63,79.61,2.89
2001-10-02,26.06,83.15,2.65
2001-10-03,26.19,80.45,2.73
2001-10-04,26.04,80.48,1.54
2001-10-05,26.5,78.94,0.47
2001-10-06,26.48,78.6,1.67
2001-10-07,26.11,80.49,1.56
2001-10-08,25.62,84.22,1.01
2001-10-09,26.31,80.56,0.98
2001-10-10,27.26,76.1,1.05
2001-10-11,27.67,73.3,0.67
2001-10-12,27.52,72.43,0.72
2001-10-13,27.23,71.36,0.01
2001-10-14,27.18,70.11,0.01
2001-10-15,27.24,63.89,0.01
2001-10-16,26.96,67.44,0.02
2001-10-17,27.59,62.03,0.02
2001-10-18,27.85,69.15,0.02
2001-10-19,28.99,64.01,0.02
2001-10-20,28.18,62.54,0.01
2001-10-21,28.18,58.71,0.02
2001-10-22,28.44,53.52,0.01
2001-10-23,28.49,53.25,0.0
2001-10-24,28.23,55.99,0.0
2001-10-25,27.58,59.0,0.0
2001-10-26,27.21,55.95,0.0
2001-10-27,26.97,49.12,0.0
2001-10-28,26.24,47.3,0.0
2001-10-29,26.59,45.54,0.0
2001-10-30,26.34,48.2,0.0
2001-10-31,26.79,52.96,0.0
2001-11-01,25.92,50.4,0.0
2001-11-02,25.39,43.57,0.0
2001-11-03,26.56,40.82,0.0
2001-11-04,26.87,41.89,0.0
2001-11-05,26.57,42.65,0.0
2001-11-06,26.62,40.43,0.0
2001-11-07,26.53,38.21,0.0
2001-11-08,26.76,37.93,0.0
2001-11-09,26.39,40.65,0.01
2001-11-10,27.51,46.13,0.07
2001-11-11,28.26,52.64,0.01
2001-11-12,28.88,55.29,0.0
2001-11-13,29.38,45.17,0.0
2001-11-14,27.97,43.33,0.0
2001-11-15,26.91,46.22,0.0
2001-11-16,27.82,39.93,0.0
2001-11-17,25.88,27.52,0.0
2001-11-18,25.81,29.22,0.0
2001-11-19,25.91,25.19,0.0
