doy,airtemp,humidity,rainfall
1,23.893,0.434585,0.0165
2,23.803,0.41850000000000004,0.0035000000000000005
3,23.7175,0.41112499999999996,0.0
4,24.003999999999998,0.40495999999999993,0.0
5,24.346,0.40885000000000005,0.003
6,24.536,0.40448,0.05600000000000001
7,24.701,0.43012,0.08499999999999999
8,24.7465,0.441925,0.11299999999999999
9,24.654999999999998,0.42317,0.0385
10,24.691499999999998,0.404925,0.019
11,24.847,0.40049,0.055999999999999994
12,24.479,0.39758499999999997,0.057999999999999996
13,24.2195,0.38527,0.0685
14,24.2595,0.38173,0.0035000000000000005
15,24.733,0.38932,0.028500000000000004
16,25.188499999999998,0.38846500000000006,0.0225
17,25.433,0.38557,0.2015
18,25.465,0.39769,0.23600000000000004
19,25.802,0.398495,0.3075
20,25.6855,0.379195,0.3485
21,25.822000000000003,0.39183499999999993,0.073
22,25.819,0.38382,0.26949999999999996
23,25.71,0.361785,0.0085
24,25.853499999999997,0.35261000000000003,0.125
25,26.24,0.36576499999999995,0.0675
26,26.560000000000002,0.35436500000000004,0.1255
27,26.596500000000002,0.36396999999999996,0.046
28,26.265499999999996,0.38071999999999995,0.2325
29,26.682499999999997,0.380695,0.0895
30,27.0365,0.38534,0.24450000000000002
31,27.2445,0.41131999999999996,0.23349999999999999
32,27.206,0.391665,0.1095
33,27.3735,0.39114,0.2465
34,27.7385,0.38285,0.15599999999999997
35,27.976999999999997,0.388645,0.0995
36,27.728500000000004,0.36205,0.068
37,27.6875,0.346045,0.068
38,27.583499999999997,0.35347500000000004,0.082
39,27.8,0.34228499999999995,0.1785
40,27.908499999999997,0.348715,0.1055
41,28.1325,0.36613500000000004,0.3115
42,28.208,0.38911500000000004,0.33599999999999997
43,27.926499999999997,0.36725499999999994,0.3685
44,27.742,0.37727499999999997,0.271
45,28.004,0.363705,0.2595
46,27.974,0.358365,0.274
47,28.561500000000002,0.37989999999999996,0.4535
48,28.956,0.41100000000000003,0.1155
49,29.459000000000003,0.397625,0.205
50,29.226999999999997,0.41774,0.2595
51,29.576,0.41354,0.8995
52,29.488,0.442835,1.0295
53,29.755000000000003,0.45025,0.4645
54,29.834000000000003,0.408295,0.689
55,29.653,0.393365,2.9044999999999996
56,29.747000000000003,0.44,0.9550000000000001
57,29.818,0.47119,0.837
58,30.131999999999998,0.45793,0.7899999999999999
59,30.122500000000002,0.45578,0.621
60,30.0825,0.47875999999999996,0.8275
61,30.2115,0.46235,0.6555000000000001
62,30.320999999999998,0.452125,0.9105000000000001
63,30.485500000000002,0.448005,0.40750000000000003
64,30.6255,0.464915,0.749
65,30.95,0.4321,0.67
66,30.3945,0.46386000000000005,1.1635
67,30.5135,0.45445499999999994,1.0859999999999999
68,30.356,0.470645,1.4155
69,30.806,0.5069400000000001,0.9630000000000001
70,30.529000000000003,0.5097849999999999,1.397
71,30.2545,0.488155,1.4529999999999998
72,30.216500000000003,0.51628,1.6629999999999998
73,30.323500000000003,0.501575,0.961
74,30.0005,0.52352,3.4605000000000006
75,30.3365,0.5489,1.3085
76,30.476,0.559395,1.546
77,30.5375,0.5741900000000001,1.181
78,30.925,0.55621,1.1795
79,30.546,0.582835,1.358
80,30.604000000000003,0.57156,1.9420000000000002
81,30.1295,0.5929449999999999,1.3139999999999998
82,30.32,0.58205,1.0870000000000002
83,30.208999999999996,0.580625,1.5935
84,30.135,0.57998,2.7795
85,30.598000000000003,0.5548050000000001,1.04
86,30.743000000000002,0.55874,1.138
87,30.887999999999998,0.562675,1.095
88,31.046999999999997,0.5615399999999999,1.2135
89,31.051,0.57438,1.245
90,30.803499999999996,0.594535,2.1965
91,30.764499999999998,0.5845049999999999,1.284
92,30.648500000000002,0.6032150000000001,3.0375
93,30.635,0.60749,2.0765000000000002
94,30.611,0.611835,2.529
95,30.404500000000002,0.626405,3.1734999999999998
96,30.301,0.6284099999999999,2.714
97,30.331,0.621255,2.9185
98,29.631999999999998,0.66252,3.397
99,30.090500000000002,0.6475449999999999,2.991
100,29.863,0.64755,2.4305
101,29.9005,0.64987,2.338
102,29.973000000000003,0.6507599999999999,3.0620000000000003
103,30.121,0.6518649999999999,2.7725
104,30.062,0.6494300000000002,1.859
105,30.188,0.629935,2.1510000000000002
106,30.079,0.63884,1.959
107,30.189999999999998,0.6320399999999999,2.1485
108,30.0365,0.65861,2.407
109,29.78,0.67286,2.8209999999999997
110,29.806,0.6641799999999999,2.054
111,29.7665,0.66616,2.5905
112,29.616000000000003,0.68161,2.862
113,29.5315,0.6865049999999999,4.17
114,29.3125,0.7002299999999999,3.8785
115,29.588,0.680995,2.807
116,29.1995,0.70356,4.42
117,29.169999999999998,0.6971649999999999,2.875
118,29.5265,0.67774,1.8960000000000001
119,29.703500000000002,0.67852,2.503
120,29.334500000000002,0.6961849999999999,2.85
121,29.4095,0.692135,4.2435
122,29.6565,0.68285,3.0025
123,29.6675,0.6889700000000001,4.338
124,29.591,0.69631,4.275
125,29.339999999999996,0.6987300000000001,3.7945
126,29.079500000000003,0.711425,3.281
127,29.202999999999996,0.70443,2.374
128,29.277499999999996,0.7053200000000001,3.1695
129,29.202499999999997,0.710955,3.4505000000000003
130,29.110000000000003,0.7141900000000001,3.229
131,28.754,0.72289,4.326
132,28.887,0.71463,4.8340000000000005
