x,u5_pfpr
0.1,0.19729984028958
0.25,0.28684776862056
0.75,0.42923224742328003
1.25,0.52517379835822
1.75,0.5777106737734
2.25,0.56085413781868
2.75,0.64342495023696
3.0,0.5942950228414801
3.5,0.6322815431371801
5.0,0.6942723822715801
8.0,0.6879876286838199
12.0,0.75522985294136
20.0,0.8133699917041401
