day,30-day Avg Infection Duration,Adult Vectors,Air Temperature,Avg Num Infections,Births,Blood Smear Gametocyte Prevalence,Blood Smear Parasite Prevalence,Campaign Cost,Daily Bites per Human,Daily EIR,Disease Deaths,Fever Prevalence,Human Infectious Reservoir,Infected,Infectious Vectors,Land Temperature,Log Prevalence,Mean Parasitemia,New Clinical Cases,New Infections,New Severe Cases,Newly Symptomatic,PCR Gametocyte Prevalence,PCR Parasite Prevalence,PfHRP2 Prevalence,Rainfall,Relative Humidity,Statistical Population,Symptomatic Population,True Prevalence,Variant Fraction-PfEMP1 Major
17,0.0,2682,25.42049980164,1.0,0,0.0,0.09899999946356,0,0.6449999809265,0.0,0,0.03900000080466,0.0,0.09899999946356,0.0,25.42049980164,-1.004364848137,6398.798339844,20,0,0,0,0.0,0.09899999946356,0.09899999946356,0.6620000004768,0.2590849995613,1000,0,0.09899999946356,0.0008401870145462
18,0.0,2494,25.55200004578,1.0,0,0.0,0.09899999946356,0,0.5789999961853,0.0,0,0.09899999946356,0.0,0.09899999946356,0.0,25.55200004578,-1.004364848137,82406.2890625,77,0,0,0,0.0,0.09899999946356,0.09899999946356,0.04450000077486,0.2513000071049,1000,0,0.09899999946356,0.001103739021346
19,0.0,2321,25.53100013733,1.0,1,0.0,0.09899999946356,0,0.5389999747276,0.0,0,0.09300000220537,0.0,0.09899999946356,0.0,25.53100013733,-1.004364848137,22931.76757812,0,0,0,0,0.0,0.09899999946356,0.09899999946356,0.09650000184774,0.2470050007105,1000,0,0.09899999946356,0.001103739021346
20,0.0,2249,25.57399940491,1.0,1,0.0,0.09890110045671,0,0.4865134656429,0.0,0,0.09890110045671,0.0,0.09890110045671,0.0,25.57399940491,-1.00479888916,129802.625,0,0,0,0,0.0,0.09890110045671,0.09890110045671,0.002499999944121,0.2459000051022,1001,0,0.09890110045671,0.001106370938942
21,0.0,2088,25.61949920654,1.0,1,0.0,0.09890110045671,0,0.4645354449749,0.0,0,0.0,1.121501363999e-10,0.09890110045671,0.0,25.61949920654,-1.00479888916,48478.5859375,0,0,0,0,0.03296703472733,0.09890110045671,0.09890110045671,0.003500000108033,0.2271250039339,1001,0,0.09890110045671,0.001106370938942
22,0.0,1949,25.5594997406,1.0,1,0.0,0.09890110045671,0,0.4205794334412,0.0,0,0.09890110045671,6.648671613263e-10,0.09890110045671,0.0,25.5594997406,-1.00479888916,218116.3125,0,0,0,0,0.04195804148912,0.09890110045671,0.09890110045671,0.0,0.2080000042915,1001,0,0.09890110045671,0.001106370938942
23,0.0,1824,25.83099937439,1.0,1,0.0,0.09890110045671,0,0.4145854115486,0.0,0,0.0,1.706715768712e-09,0.09890110045671,0.0,25.83099937439,-1.00479888916,46752.2578125,0,0,0,0,0.05194805189967,0.09890110045671,0.09890110045671,0.0,0.2046650052071,1001,0,0.09890110045671,0.001106370938942
24,0.0,1717,26.26899909973,1.0,1,0.0,0.09890110045671,0,0.4175824224949,0.0,0,0.09890110045671,1.014798911569e-08,0.09890110045671,0.0,26.26899909973,-1.00479888916,140454.8125,0,0,0,0,0.05594405531883,0.09890110045671,0.09890110045671,0.0,0.2102349996567,1001,0,0.09890110045671,0.001106370938942
25,0.0,1618,26.40699958801,1.0,1,0.0,0.09890110045671,0,0.357642352581,0.0,0,0.0,3.232149481391e-08,0.09890110045671,0.0,26.40699958801,-1.00479888916,25318.3359375,0,0,0,0,0.09590409696102,0.09890110045671,0.09890110045671,0.001500000013039,0.207574993372,1001,0,0.09890110045671,0.001106370938942
26,0.0,1509,26.60600090027,1.0,1,0.0,0.09890110045671,0,0.3186813294888,0.0,0,0.07492507249117,1.808821679106e-07,0.09890110045671,0.0,26.60600090027,-1.00479888916,60380.9296875,0,0,0,0,0.09490509331226,0.09890110045671,0.09890110045671,0.002499999944121,0.2041999995708,1001,0,0.09890110045671,0.001106370938942
27,0.0,1429,26.46299934387,1.0,1,0.06393606215715,0.09890110045671,0,0.3256743252277,0.0,0,0.0,8.503037634e-07,0.09890110045671,0.0,26.46299934387,-1.00479888916,8857.930664062,0,0,0,0,0.09890110045671,0.09890110045671,0.09890110045671,0.06049999967217,0.2240999937057,1001,0,0.09890110045671,0.001106370938942
28,0.0,1319,26.70450019836,1.0,1,0.04295704141259,0.09890110045671,0,0.2887112796307,0.0,0,0.0,3.7581610286e-06,0.09890110045671,0.0,26.70450019836,-1.00479888916,17077.96679688,0,0,0,0,0.09890110045671,0.09890110045671,0.09890110045671,0.04800000041723,0.2217600047588,1001,0,0.09890110045671,0.001109171891585
29,0.0,1228,26.91799926758,1.0,1,0.09890110045671,0.09890110045671,0,0.2707292437553,0.0,0,0.0,1.869727566373e-05,0.09890110045671,0.0,26.91799926758,-1.00479888916,2214.343261719,0,0,0,0,0.09890110045671,0.09890110045671,0.09890110045671,0.05900000035763,0.2063450068235,1001,0,0.09890110045671,0.001109171891585
30,0.0,1155,26.7859992981,1.0,1,0.09890110045671,0.09890110045671,0,0.2757242619991,0.0,0,0.0,4.130406159675e-05,0.09890110045671,0.0,26.7859992981,-1.00479888916,4612.1484375,0,0,0,0,0.09890110045671,0.09890110045671,0.09890110045671,0.03200000151992,0.2082449942827,1001,0,0.09890110045671,0.001163323060609
31,0.0,1080,27.09600067139,1.0,1,0.09890110045671,0.09890110045671,0,0.2507492601871,0.0,0,0.0009990009712055,5.436292485683e-05,0.09890110045671,0.0,27.09600067139,-1.00479888916,1123.496459961,0,0,0,0,0.09890110045671,0.09890110045671,0.09890110045671,0.02649999968708,0.2171600013971,1001,0,0.09890110045671,0.001163323060609
